Date,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC
12/31/1948,8,4,2
1/1/1949,2,-2,-4
1/2/1949,2,-5,-8
1/3/1949,-2,-11,-16
1/4/1949,1,-8,-12
1/5/1949,5,-1,-4
1/6/1949,15,9,6
1/7/1949,11,0,-6
1/8/1949,-5,-12,-16
1/9/1949,-8,-16,-20
1/10/1949,-8,-16,-20
1/11/1949,-1,-11,-16
1/12/1949,0,-8,-12
1/13/1949,4,-8,-14
1/14/1949,1,-4,-6
1/15/1949,9,0,-4
1/16/1949,6,-2,-6
1/17/1949,8,4,2
1/18/1949,2,-1,-2
1/19/1949,1,-5,-8
1/20/1949,-4,-9,-12
1/21/1949,-1,-7,-10
1/22/1949,-1,-7,-10
1/23/1949,-7,-13,-16
1/24/1949,-7,-13,-16
1/25/1949,-1,-10,-14
1/26/1949,-3,-5,-6
1/27/1949,1,-4,-6
1/28/1949,2,-9,-14
1/29/1949,3,-2,-4
1/30/1949,3,-2,-4
1/31/1949,3,0,-2
2/1/1949,1,-5,-8
2/2/1949,0,-4,-6
2/3/1949,2,-2,-4
2/4/1949,0,-5,-8
2/5/1949,0,-7,-10
2/6/1949,4,1,0
2/7/1949,4,1,0
2/8/1949,8,4,2
2/9/1949,10,6,4
2/10/1949,8,1,-2
2/11/1949,3,-2,-4
2/12/1949,-3,-9,-12
2/13/1949,-2,-10,-14
2/14/1949,4,0,-2
2/15/1949,9,4,2
2/16/1949,15,13,12
2/17/1949,9,4,2
2/18/1949,6,2,0
2/19/1949,-1,-2,-2
2/20/1949,3,-2,-4
2/21/1949,14,9,6
2/22/1949,19,16,14
2/23/1949,21,12,8
2/24/1949,25,12,6
2/25/1949,26,11,4
2/26/1949,25,11,4
2/27/1949,23,9,2
2/28/1949,27,9,0
3/1/1949,21,12,8
3/2/1949,21,14,10
3/3/1949,26,14,8
3/4/1949,22,10,4
3/5/1949,21,12,8
3/6/1949,19,13,10
3/7/1949,14,10,8
3/8/1949,15,9,6
3/9/1949,19,8,2
3/10/1949,22,14,10
3/11/1949,24,16,12
3/12/1949,15,14,14
3/13/1949,16,12,10
3/14/1949,16,12,10
3/15/1949,20,12,8
3/16/1949,21,15,12
3/17/1949,23,17,14
3/18/1949,29,19,14
3/19/1949,22,17,14
3/20/1949,15,13,12
3/21/1949,17,10,6
3/22/1949,19,8,2
3/23/1949,19,8,2
3/24/1949,20,11,6
3/25/1949,20,12,8
3/26/1949,18,10,6
3/27/1949,17,7,2
3/28/1949,14,3,-2
3/29/1949,10,6,4
3/30/1949,13,7,4
3/31/1949,19,5,-2
4/1/1949,14,10,8
4/2/1949,20,12,8
4/3/1949,26,11,4
4/4/1949,35,19,12
4/5/1949,24,15,10
4/6/1949,27,13,6
4/7/1949,17,11,8
4/8/1949,27,18,14
4/9/1949,35,19,12
4/10/1949,32,20,14
4/11/1949,23,17,14
4/12/1949,24,16,12
4/13/1949,21,12,8
4/14/1949,35,14,4
4/15/1949,36,20,12
4/16/1949,25,19,16
4/17/1949,19,13,10
4/18/1949,20,16,14
4/19/1949,20,16,14
4/20/1949,24,16,12
4/21/1949,21,15,12
4/22/1949,21,14,10
4/23/1949,24,17,14
4/24/1949,25,16,12
4/25/1949,26,17,12
4/26/1949,32,17,10
4/27/1949,28,19,14
4/28/1949,26,19,16
4/29/1949,19,12,8
4/30/1949,20,12,8
5/1/1949,20,16,14
5/2/1949,19,13,10
5/3/1949,21,11,6
5/4/1949,23,13,8
5/5/1949,34,15,6
5/6/1949,35,22,16
5/7/1949,41,26,18
5/8/1949,42,26,18
5/9/1949,37,23,16
5/10/1949,37,23,16
5/11/1949,45,27,18
5/12/1949,44,29,22
5/13/1949,43,29,22
5/14/1949,41,26,18
5/15/1949,31,22,18
5/16/1949,26,18,14
5/17/1949,30,19,14
5/18/1949,44,28,20
5/19/1949,28,21,18
5/20/1949,34,23,18
5/21/1949,36,24,18
5/22/1949,37,28,24
5/23/1949,41,26,18
5/24/1949,34,26,22
5/25/1949,35,22,16
5/26/1949,35,22,16
5/27/1949,29,24,22
5/28/1949,31,22,18
5/29/1949,32,21,16
5/30/1949,33,23,18
5/31/1949,31,22,18
6/1/1949,31,22,18
6/2/1949,32,21,16
6/3/1949,39,24,16
6/4/1949,46,31,24
6/5/1949,50,34,26
6/6/1949,47,33,26
6/7/1949,36,21,14
6/8/1949,43,26,18
6/9/1949,41,28,22
6/10/1949,36,28,24
6/11/1949,39,25,18
6/12/1949,36,22,16
6/13/1949,39,25,18
6/14/1949,43,25,16
6/15/1949,33,20,14
6/16/1949,30,19,14
6/17/1949,36,21,14
6/18/1949,41,26,18
6/19/1949,32,24,20
6/20/1949,38,29,24
6/21/1949,39,25,18
6/22/1949,31,25,22
6/23/1949,36,27,22
6/24/1949,30,22,18
6/25/1949,29,20,16
6/26/1949,30,21,16
6/27/1949,26,19,16
6/28/1949,25,19,16
6/29/1949,29,20,16
6/30/1949,36,20,12
7/1/1949,35,22,16
7/2/1949,38,25,18
7/3/1949,38,22,14
7/4/1949,36,21,14
7/5/1949,36,27,22
7/6/1949,34,22,16
7/7/1949,40,28,22
7/8/1949,46,30,22
7/9/1949,47,32,24
7/10/1949,47,29,20
7/11/1949,42,29,22
7/12/1949,46,29,20
7/13/1949,51,32,22
7/14/1949,51,38,32
7/15/1949,46,34,28
7/16/1949,38,30,26
7/17/1949,42,29,22
7/18/1949,33,27,24
7/19/1949,31,26,24
7/20/1949,36,27,22
7/21/1949,38,26,20
7/22/1949,35,29,26
7/23/1949,34,29,26
7/24/1949,38,29,24
7/25/1949,31,27,26
7/26/1949,32,25,22
7/27/1949,37,27,22
7/28/1949,42,29,22
7/29/1949,45,31,24
7/30/1949,47,33,26
7/31/1949,50,35,28
8/1/1949,59,44,36
8/2/1949,41,31,26
8/3/1949,40,32,28
8/4/1949,40,31,26
8/5/1949,39,29,24
8/6/1949,35,29,26
8/7/1949,33,27,24
8/8/1949,41,30,24
8/9/1949,39,28,22
8/10/1949,39,29,24
8/11/1949,37,31,28
8/12/1949,35,25,20
8/13/1949,39,28,22
8/14/1949,38,25,18
8/15/1949,41,28,22
8/16/1949,41,34,30
8/17/1949,42,30,24
8/18/1949,42,30,24
8/19/1949,46,30,22
8/20/1949,40,29,24
8/21/1949,41,31,26
8/22/1949,41,28,22
8/23/1949,41,27,20
8/24/1949,37,27,22
8/25/1949,39,29,24
8/26/1949,41,26,18
8/27/1949,46,31,24
8/28/1949,50,35,28
8/29/1949,48,33,26
8/30/1949,35,29,26
8/31/1949,41,31,26
9/1/1949,44,29,22
9/2/1949,43,29,22
9/3/1949,50,38,32
9/4/1949,50,39,34
9/5/1949,48,37,32
9/6/1949,51,34,26
9/7/1949,50,33,24
9/8/1949,40,28,22
9/9/1949,38,30,26
9/10/1949,35,28,24
9/11/1949,34,22,16
9/12/1949,40,23,14
9/13/1949,44,27,18
9/14/1949,30,26,24
9/15/1949,29,24,22
9/16/1949,28,21,18
9/17/1949,28,21,18
9/18/1949,31,25,22
9/19/1949,29,23,20
9/20/1949,30,18,12
9/21/1949,34,22,16
9/22/1949,36,21,14
9/23/1949,36,22,16
9/24/1949,28,24,22
9/25/1949,34,26,22
9/26/1949,42,26,18
9/27/1949,46,30,22
9/28/1949,33,27,24
9/29/1949,34,29,26
9/30/1949,27,22,20
10/1/1949,31,22,18
10/2/1949,29,19,14
10/3/1949,22,14,10
10/4/1949,23,19,16
10/5/1949,28,19,14
10/6/1949,21,15,12
10/7/1949,23,16,12
10/8/1949,20,13,10
10/9/1949,25,18,14
10/10/1949,22,15,12
10/11/1949,25,19,16
10/12/1949,24,17,14
10/13/1949,22,11,6
10/14/1949,27,13,6
10/15/1949,26,18,14
10/16/1949,19,14,12
10/17/1949,18,9,4
10/18/1949,14,6,2
10/19/1949,12,1,-4
10/20/1949,16,4,-2
10/21/1949,19,8,2
10/22/1949,24,13,8
10/23/1949,15,13,12
10/24/1949,19,14,12
10/25/1949,17,14,12
10/26/1949,20,16,14
10/27/1949,24,20,18
10/28/1949,26,21,18
10/29/1949,22,15,12
10/30/1949,30,18,12
10/31/1949,34,19,12
11/1/1949,28,17,12
11/2/1949,32,16,8
11/3/1949,32,16,8
11/4/1949,35,19,12
11/5/1949,29,16,10
11/6/1949,20,12,8
11/7/1949,19,12,8
11/8/1949,20,16,14
11/9/1949,16,11,8
11/10/1949,19,14,12
11/11/1949,23,18,16
11/12/1949,18,15,14
11/13/1949,22,19,18
11/14/1949,23,20,18
11/15/1949,20,16,14
11/16/1949,30,19,14
11/17/1949,22,15,12
11/18/1949,22,18,16
11/19/1949,19,16,14
11/20/1949,16,11,8
11/21/1949,20,11,6
11/22/1949,20,12,8
11/23/1949,21,19,18
11/24/1949,25,20,18
11/25/1949,26,19,16
11/26/1949,28,21,18
11/27/1949,22,18,16
11/28/1949,17,14,12
11/29/1949,18,13,10
11/30/1949,20,16,14
12/1/1949,24,20,18
12/2/1949,16,11,8
12/3/1949,10,2,-2
12/4/1949,21,14,10
12/5/1949,13,7,4
12/6/1949,10,3,0
12/7/1949,11,6,4
12/8/1949,8,0,-4
12/9/1949,9,4,2
12/10/1949,3,-4,-8
12/11/1949,0,-5,-8
12/12/1949,4,1,0
12/13/1949,11,6,4
12/14/1949,16,11,8
12/15/1949,10,7,6
12/16/1949,7,5,4
12/17/1949,8,4,2
12/18/1949,0,-5,-8
12/19/1949,-6,-11,-14
12/20/1949,2,-6,-10
12/21/1949,10,6,4
12/22/1949,15,13,12
12/23/1949,14,9,6
12/24/1949,8,4,2
12/25/1949,10,7,6
12/26/1949,10,8,8
12/27/1949,16,12,10
12/28/1949,20,16,14
12/29/1949,19,8,2
12/30/1949,4,0,-2
12/31/1949,3,0,-2
1/1/1950,-2,-6,-8
1/2/1950,-13,-23,-28
1/3/1950,-12,-23,-28
1/4/1950,-9,-15,-18
1/5/1950,1,-8,-12
1/6/1950,5,4,4
1/7/1950,3,2,2
1/8/1950,1,-1,-2
1/9/1950,2,-1,-2
1/10/1950,6,2,0
1/11/1950,2,-1,-2
1/12/1950,-3,-10,-14
1/13/1950,-18,-22,-24
1/14/1950,-20,-23,-24
1/15/1950,-14,-17,-18
1/16/1950,-14,-17,-18
1/17/1950,-11,-16,-18
1/18/1950,-13,-21,-24
1/19/1950,5,-4,-8
1/20/1950,14,9,6
1/21/1950,17,14,12
1/22/1950,11,7,6
1/23/1950,1,-4,-6
1/24/1950,-10,-18,-22
1/25/1950,-13,-22,-26
1/26/1950,0,-8,-12
1/27/1950,-6,-11,-14
1/28/1950,-12,-21,-26
1/29/1950,-14,-22,-26
1/30/1950,-15,-22,-26
1/31/1950,-19,-29,-34
2/1/1950,-13,-26,-32
2/2/1950,-10,-21,-26
2/3/1950,-2,-15,-22
2/4/1950,6,3,2
2/5/1950,10,6,4
2/6/1950,7,5,4
2/7/1950,11,6,4
2/8/1950,11,6,4
2/9/1950,12,8,6
2/10/1950,8,5,4
2/11/1950,11,9,8
2/12/1950,10,7,6
2/13/1950,19,13,10
2/14/1950,21,15,12
2/15/1950,22,18,16
2/16/1950,16,11,8
2/17/1950,20,12,8
2/18/1950,19,12,8
2/19/1950,13,7,4
2/20/1950,13,7,4
2/21/1950,14,9,6
2/22/1950,16,12,10
2/23/1950,16,11,8
2/24/1950,16,13,12
2/25/1950,23,14,10
2/26/1950,18,9,4
2/27/1950,12,5,2
2/28/1950,14,3,-2
3/1/1950,21,12,8
3/2/1950,16,11,8
3/3/1950,24,19,16
3/4/1950,15,13,12
3/5/1950,16,11,8
3/6/1950,12,8,6
3/7/1950,11,1,-4
3/8/1950,13,7,4
3/9/1950,11,6,4
3/10/1950,6,2,0
3/11/1950,6,-1,-4
3/12/1950,9,3,0
3/13/1950,12,5,2
3/14/1950,16,11,8
3/15/1950,16,12,10
3/16/1950,17,14,12
3/17/1950,19,13,10
3/18/1950,14,10,8
3/19/1950,17,10,6
3/20/1950,12,5,2
3/21/1950,15,8,4
3/22/1950,12,8,6
3/23/1950,11,5,2
3/24/1950,15,9,6
3/25/1950,16,8,4
3/26/1950,11,7,6
3/27/1950,14,9,6
3/28/1950,12,5,2
3/29/1950,15,2,-4
3/30/1950,13,11,10
3/31/1950,18,13,10
4/1/1950,19,13,10
4/2/1950,12,8,6
4/3/1950,18,9,4
4/4/1950,24,9,2
4/5/1950,26,15,10
4/6/1950,18,10,6
4/7/1950,22,11,6
4/8/1950,16,11,8
4/9/1950,18,10,6
4/10/1950,22,9,2
4/11/1950,23,17,14
4/12/1950,21,15,12
4/13/1950,21,12,8
4/14/1950,17,10,6
4/15/1950,17,14,12
4/16/1950,21,15,12
4/17/1950,19,13,10
4/18/1950,25,11,4
4/19/1950,38,22,14
4/20/1950,21,11,6
4/21/1950,16,7,2
4/22/1950,15,8,4
4/23/1950,17,7,2
4/24/1950,20,7,0
4/25/1950,19,12,8
4/26/1950,14,10,8
4/27/1950,19,13,10
4/28/1950,23,10,4
4/29/1950,28,13,6
4/30/1950,27,14,8
5/1/1950,21,15,12
5/2/1950,20,11,6
5/3/1950,18,9,4
5/4/1950,17,15,14
5/5/1950,17,11,8
5/6/1950,19,12,8
5/7/1950,23,9,2
5/8/1950,25,15,10
5/9/1950,21,15,12
5/10/1950,32,24,20
5/11/1950,36,21,14
5/12/1950,34,23,18
5/13/1950,30,19,14
5/14/1950,27,14,8
5/15/1950,27,16,10
5/16/1950,26,15,10
5/17/1950,19,14,12
5/18/1950,20,12,8
5/19/1950,28,20,16
5/20/1950,30,18,12
5/21/1950,30,22,18
5/22/1950,23,17,14
5/23/1950,25,12,6
5/24/1950,33,16,8
5/25/1950,42,21,10
5/26/1950,35,21,14
5/27/1950,27,21,18
5/28/1950,28,20,16
5/29/1950,29,20,16
5/30/1950,30,18,12
5/31/1950,36,20,12
6/1/1950,33,23,18
6/2/1950,43,26,18
6/3/1950,46,27,18
6/4/1950,37,25,18
6/5/1950,26,17,12
6/6/1950,20,16,14
6/7/1950,23,18,16
6/8/1950,30,22,18
6/9/1950,37,23,16
6/10/1950,39,29,24
6/11/1950,40,29,24
6/12/1950,28,24,22
6/13/1950,32,25,22
6/14/1950,26,23,22
6/15/1950,39,29,24
6/16/1950,48,32,24
6/17/1950,34,29,26
6/18/1950,40,31,26
6/19/1950,45,31,24
6/20/1950,37,30,26
6/21/1950,30,23,20
6/22/1950,28,21,18
6/23/1950,30,22,18
6/24/1950,31,22,18
6/25/1950,33,23,18
6/26/1950,43,28,20
6/27/1950,44,33,28
6/28/1950,48,35,28
6/29/1950,47,36,30
6/30/1950,43,33,28
7/1/1950,41,28,22
7/2/1950,46,31,24
7/3/1950,46,30,22
7/4/1950,44,29,22
7/5/1950,44,29,22
7/6/1950,41,30,24
7/7/1950,36,27,22
7/8/1950,31,22,18
7/9/1950,35,28,24
7/10/1950,35,28,24
7/11/1950,39,28,22
7/12/1950,44,29,22
7/13/1950,42,29,22
7/14/1950,40,31,26
7/15/1950,34,26,22
7/16/1950,40,28,22
7/17/1950,47,29,20
7/18/1950,42,30,24
7/19/1950,43,33,28
7/20/1950,43,29,22
7/21/1950,50,35,28
7/22/1950,47,32,24
7/23/1950,47,32,24
7/24/1950,47,33,26
7/25/1950,45,31,24
7/26/1950,38,30,26
7/27/1950,35,29,26
7/28/1950,31,26,24
7/29/1950,35,28,24
7/30/1950,39,29,24
7/31/1950,45,31,24
8/1/1950,48,32,24
8/2/1950,34,26,22
8/3/1950,33,25,22
8/4/1950,34,20,14
8/5/1950,33,23,18
8/6/1950,32,26,24
8/7/1950,39,30,26
8/8/1950,41,28,22
8/9/1950,40,24,16
8/10/1950,43,29,22
8/11/1950,44,28,20
8/12/1950,41,27,20
8/13/1950,41,26,18
8/14/1950,40,32,28
8/15/1950,33,31,30
8/16/1950,43,34,30
8/17/1950,47,33,26
8/18/1950,46,31,24
8/19/1950,48,33,26
8/20/1950,50,34,26
8/21/1950,50,35,28
8/22/1950,41,31,26
8/23/1950,36,31,28
8/24/1950,41,32,28
8/25/1950,41,32,28
8/26/1950,49,32,24
8/27/1950,41,32,28
8/28/1950,41,27,20
8/29/1950,39,29,24
8/30/1950,40,23,14
8/31/1950,44,27,18
9/1/1950,47,30,22
9/2/1950,48,36,30
9/3/1950,34,29,26
9/4/1950,35,28,24
9/5/1950,36,21,14
9/6/1950,37,27,22
9/7/1950,36,24,18
9/8/1950,40,23,14
9/9/1950,37,23,16
9/10/1950,33,23,18
9/11/1950,42,25,16
9/12/1950,40,24,16
9/13/1950,29,23,20
9/14/1950,32,25,22
9/15/1950,28,20,16
9/16/1950,36,27,22
9/17/1950,40,27,20
9/18/1950,35,21,14
9/19/1950,30,22,18
9/20/1950,36,21,14
9/21/1950,49,31,22
9/22/1950,41,30,24
9/23/1950,35,28,24
9/24/1950,30,27,26
9/25/1950,29,24,22
9/26/1950,28,20,16
9/27/1950,25,15,10
9/28/1950,20,12,8
9/29/1950,24,16,12
9/30/1950,25,11,4
10/1/1950,22,11,6
10/2/1950,25,12,6
10/3/1950,25,20,18
10/4/1950,31,22,18
10/5/1950,23,18,16
10/6/1950,25,18,14
10/7/1950,37,27,22
10/8/1950,28,21,18
10/9/1950,22,15,12
10/10/1950,30,23,20
10/11/1950,29,18,12
10/12/1950,26,22,20
10/13/1950,23,21,20
10/14/1950,20,17,16
10/15/1950,20,12,8
10/16/1950,16,12,10
10/17/1950,21,15,12
10/18/1950,24,20,18
10/19/1950,25,20,18
10/20/1950,21,15,12
10/21/1950,18,11,8
10/22/1950,16,8,4
10/23/1950,20,12,8
10/24/1950,19,10,6
10/25/1950,24,16,12
10/26/1950,20,12,8
10/27/1950,20,16,14
10/28/1950,15,13,12
10/29/1950,17,14,12
10/30/1950,15,12,10
10/31/1950,15,9,6
11/1/1950,18,14,12
11/2/1950,21,16,14
11/3/1950,33,27,24
11/4/1950,25,19,16
11/5/1950,17,15,14
11/6/1950,18,14,12
11/7/1950,15,11,8
11/8/1950,13,7,4
11/9/1950,18,7,2
11/10/1950,13,7,4
11/11/1950,11,6,4
11/12/1950,13,3,-2
11/13/1950,6,-1,-4
11/14/1950,6,2,0
11/15/1950,12,8,6
11/16/1950,10,7,6
11/17/1950,7,5,4
